Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;DT;0;model6;ROS;0,7075191163976211;0,5486822122585571;0,7553085704296751;[0,81642448 0,28093995];0,7075191163976211;0,500620347394541;0,7341751918158568;0,6173977696051989;"[9186; 3326; 805; 807]"
pdfbox;RandomForest;0;model6;ROS;0,7086519399603511;0,5515913555810251;0,7563958022534327;[0,81697282 0,28620989];0,7086519399603511;0,5117866004962779;0,7340153452685422;0,6229009728824101;"[9184; 3328; 787; 825]"
pdfbox;LogistRegression;0;model6;ROS;0,6895355423392806;0,5564318380431261;0,7439503047392726;[0,79941448 0,31344919];0,6895355423392806;0,6209677419354839;0,6983695652173914;0,6596686535764377;"[8738; 3774; 611; 1001]"
pdfbox;MLP;0;model6;ROS;0,7003681676578872;0,5780742611382672;0,7533772044659709;[0,80522828 0,35092025];0,7003681676578872;0,7096774193548387;0,6991687979539642;0,7044231086544015;"[8748; 3764; 468; 1144]"
pdfbox;DT;0;model7;ROS;0,8193854432172188;0,6392169726911333;0,8359744447615003;[0,89417133 0,38426261];0,819385443217219;0,49379652605459057;0,8613331202046036;0,6775648231295971;"[10777; 1735; 816; 796]"
pdfbox;RandomForest;0;model7;ROS;0,8582554517133957;0,6871004773125491;0,8656941228198464;[0,91851852 0,45568244];0,8582554517133957;0,5198511166253101;0,9018542199488491;0,7108526682870796;"[11284; 1228; 774; 838]"
pdfbox;LogistRegression;0;model7;ROS;0,6720475785896347;0,5347835085116035;0,7298015434243434;[0,78748394 0,28208308];0,6720475785896347;0,5645161290322581;0,6859015345268542;0,6252088317795561;"[8582; 3930; 702; 910]"
pdfbox;MLP;0;model7;ROS;0,722529028603795;0,5948424053037975;0,7703732659381739;[0,82229175 0,36739306];0,722529028603795;0,705955334987593;0,7246643222506394;0,7153098286191162;"[9067; 3445; 474; 1138]"
pdfbox;RandomForest;0;model6;SMOTE;0,764018691588785;0,5734190857596304;0,7934737095852619;[0,85856143 0,28827675];0,764018691588785;0,41873449131513646;0,8085038363171355;0,613619163816136;"[10116; 2396; 937; 675]"
pdfbox;DT;0;model6;SMOTE;0,6863494760691022;0,5210208526071523;0,7381914956217647;[0,80242619 0,23961552];0,6863494760691022;0,43300248138957814;0,7189897698209718;0,575996125605275;"[8996; 3516; 914; 698]"
pdfbox;LogistRegression;0;model6;SMOTE;0,692367601246106;0,5567261882959273;0,7459609766175639;[0,80193281 0,31151957];0,692367601246106;0,6098014888337469;0,703005115089514;0,6564033019616304;"[8796; 3716; 629; 983]"
pdfbox;MLP;0;model6;SMOTE;0,6939252336448598;0,5705198244027012;0,7481871022708201;[0,8007375  0,34030215];0,6939252336448598;0,6916873449131513;0,6942135549872123;0,6929504499501818;"[8686; 3826; 497; 1115]"
pdfbox;RandomForest;0;model7;SMOTE;0,8283064287737185;0,6834189346417283;0,8487013716944434;[0,89758858 0,46924929];0,8283064287737185;0,6650124069478908;0,8493446291560103;0,7571785180519506;"[10627; 1885; 540; 1072]"
