Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;DT;3;model6;SMOTE;0,8155865964430196;0,6447544357861082;0,8351048994437762;[0,8911025  0,39840637];0,8155865964430196;0,5372733378106112;0,8512745435756114;0,6942739406931113;"[9885; 1727; 689; 800]"
pdfbox;LogistRegression;3;model6;SMOTE;0,7129226776581941;0,5787382914191442;0,7624478588924877;[0,81649183 0,34098476];0,7129226776581941;0,6534586971121558;0,7205477092662763;0,6870032031892159;"[8367; 3245; 516; 973]"
pdfbox;MLP;3;model6;SMOTE;0,7740630486222426;0,6474575901380025;0,8107013879008305;[0,8587247  0,43619048];0,7740630486222426;0,7689724647414372;0,7747158112297623;0,7718441379855997;"[8996; 2616; 344; 1145]"
pdfbox;RandomForest;3;model7;SMOTE;0,8936722387603999;0,7892424098014806;0,9038751530839725;[0,93759799 0,64088683];0,8936722387603999;0,8347884486232371;0,9012228728901137;0,8680056607566754;"[10465; 1147; 246; 1243]"
pdfbox;DT;3;model7;SMOTE;0,881154110373254;0,755384216604679;0,89091419687073;[0,93078462 0,57998381];0,881154110373254;0,7219610476830087;0,9015673441267654;0,8117641959048871;"[10469; 1143; 414; 1075]"
pdfbox;LogistRegression;3;model7;SMOTE;0,8031447981070147;0,6451403384580299;0,8281052372256659;[0,88193014 0,40835054];0,8031447981070148;0,5977165883143049;0,8294867378573889;0,7136016630858468;"[9632; 1980; 599; 890]"
pdfbox;MLP;3;model7;SMOTE;0,8458132966949087;0,7348575565779722;0,8673891149500961;[0,90637746 0,56333766];0,8458132966949088;0,8750839489590329;0,8420599379951774;0,8585719434771051;"[9778; 1834; 186; 1303]"
pdfbox;RandomForest;3;model6;ADA;0,8779482482253264;0,7150149648269939;0,8815174509809733;[0,93049941 0,49953052];0,8779482482253264;0,5359301544660846;0,9218050292800551;0,7288675918730698;"[10704; 908; 691; 798]"
pdfbox;DT;3;model6;ADA;0,7292573086023967;0,5681465194150372;0,7719611306301885;[0,83191963 0,30437341];0,7292573086023968;0,5211551376762928;0,7559421288322425;0,6385486332542677;"[8778; 2834; 713; 776]"
pdfbox;LogistRegression;3;model6;ADA;0,6908632928784062;0,5655058427981492;0,7458374425085998;[0,79888768 0,33212401];0,6908632928784062;0,6762928139691068;0,6927316569066483;0,6845122354378776;"[8044; 3568; 482; 1007]"
pdfbox;MLP;3;model6;ADA;0,7624608808487902;0,640389441230329;0,8022824299972205;[0,84990836 0,43087052];0,7624608808487902;0,791134989926125;0,7587840165346194;0,7749595032303722;"[8811; 2801; 311; 1178]"
